jobName	analysisMode	elapsedTime	maxMem	avgMem	technology	group
NB-DKFZ_B087wgs_23267_tumor-control	paired	5.02833333333333	4.2	2.8	101bp	paired_101bp
PRAD-CA_CPCG0203_tumor-control	paired	5.025	4	2.8	101bp	paired_101bp
EOPC-DKFZ_ICGC_PCA188_tumor_01-control	paired	5.00333333333333	3.6	1.1	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-FKLBP2_metastasis02-blood	paired	5	2.7	1	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-E4BVA8_tumor-buffy_coat	paired	4.99166666666667	2.5	0.6728515625	151bp_X10	paired_151bp_X10
SARC-US_TCGA-DX-A23R_tumor-control	paired	4.975	2.1	0.490234375	101bp	paired_101bp
PGBM-DKFZ_ICGC_GBM60_tumor-control	paired	4.97	1.9	0.3330078125	101bp	paired_101bp
RMM-DKFZ_H067-VQNUFH_tumor02-control	paired	4.96	7.5	4.8	151bp_X10	paired_151bp_X10
MASTER-DKFZ_H021-VJWKMM_metastasis-blood	paired	4.94833333333333	2.6	0.744140625	151bp_X10	paired_151bp_X10
PRAD-CA_CPCG0001_tumor-control	paired	4.93333333333333	11.2	7.6	101bp	paired_101bp
PRAD-CA_CPCG0363_tumor-control	paired	4.91166666666667	2.9	2.2	101bp	paired_101bp
MASTER-DKFZ_H021-LDUYDE_metastasis02-buffy_coat	paired	4.91	2.8	1	151bp_X10	paired_151bp_X10
BRCA-UK_CGP_donor_1114930_tumor-control	paired	4.89666666666667	3.9	2.9	101bp	paired_101bp
LIRI-JP_RK118_tumor-control	paired	4.89666666666667	3.9	2.9	101bp	paired_101bp
PEDBRAIN_FAMILIES-DKFZ_XI046_SF_D1212_tumor-blood	paired	4.89166666666667	7.7	4.5	151bp_X10	paired_151bp_X10
STAD-US_TCGA-EQ-5647_tumor-control	paired	4.885	3.6	1.6	101bp	paired_101bp
LAML-KR_SNU_WGS_04_tumor-control	paired	4.87833333333333	4.1	3	101bp	paired_101bp
ALL-DKTK_XD032-U3TFH4_tumor01-control01	paired	4.87333333333333	5.1	3.8	151bp_X10	paired_151bp_X10
LIRI-JP_RK233_2_tumor-control	paired	4.85666666666667	3.5	2.7	101bp	paired_101bp
LIRI-JP_RK122_tumor-control	paired	4.855	3.8	2.6	101bp	paired_101bp
