#chromosomeIndex	startPos	endPos	tadIndex
5	84400000	85740000	1094
5	85680000	86360000	1095
5	86285000	86740000	1096
5	86680000	88000000	1097
5	87960000	90120000	1098
5	90060000	90800000	1099
5	90760000	92200000	1100
5	92120000	93280000	1101
5	93200000	94280000	1102
5	94240000	94840000	1103
5	94760000	95680000	1104
5	95635000	96080000	1105
5	96035000	96520000	1106
5	96480000	98440000	1107
5	98400000	99720000	1108
5	99640000	101640000	1109
5	101560000	102560000	1110
5	102510000	102920000	1111
5	102860000	103680000	1112
5	103600000	104240000	1113
5	104160000	105520000	1114
5	105360000	106280000	1115
5	106120000	107720000	1116
5	107680000	109000000	1117
5	108880000	110090000	1118
5	110040000	110865000	1119
5	110810000	111525000	1120
5	111480000	111850000	1121
5	111800000	112320000	1122
5	112280000	112680000	1123
5	112640000	112960000	1124
5	112910000	114640000	1125
5	114600000	115440000	1126
5	115360000	116880000	1127
5	116760000	118320000	1128
5	118260000	118815000	1129
5	118760000	119920000	1130
5	119800000	121520000	1131
5	121440000	123000000	1132
5	122960000	124080000	1133
5	124040000	125680000	1134
5	125635000	126000000	1135
5	125960000	126880000	1136
5	126835000	127590000	1137
5	127520000	128320000	1138
5	128200000	129200000	1139
5	129125000	130800000	1140
5	130735000	131480000	1141
5	131400000	132440000	1142
5	132385000	133440000	1143
5	133360000	134300000	1144
5	134240000	135200000	1145
5	135160000	135600000	1146
